"condition","Iteration","InSampleError","Error","Model"
0,70,0.323607325406472,0.317869082715487,"Hyperbolic"
0,71,0.321017016986586,0.316072827259207,"Hyperbolic"
0,72,0.31046573369991,0.314964404679407,"Hyperbolic"
0,73,0.330707048296896,0.304154659330512,"Hyperbolic"
0,74,0.315589497838164,0.317914654074107,"Hyperbolic"
0,75,0.332304160850407,0.300383733799765,"Hyperbolic"
0,76,0.306573679860289,0.329190819795053,"Hyperbolic"
0,77,0.327806300572242,0.303801250421059,"Hyperbolic"
0,78,0.301094652941311,0.334169336733185,"Hyperbolic"
0,79,0.328865499304733,0.303542354332812,"Hyperbolic"
0,80,0.320392186699292,0.308501729268194,"Hyperbolic"
0,81,0.310248284249491,0.326996887145701,"Hyperbolic"
0,82,0.323816197370495,0.306325816287496,"Hyperbolic"
0,83,0.317978651718736,0.311523952057462,"Hyperbolic"
0,84,0.330797664135013,0.311341149360412,"Hyperbolic"
0,85,0.309163998663928,0.325582016014413,"Hyperbolic"
0,86,0.318294436869866,0.318460093401913,"Hyperbolic"
0,87,0.308243561497034,0.321205315198983,"Hyperbolic"
0,88,0.324641019502262,0.306559129823022,"Hyperbolic"
0,89,0.319030639744385,0.321811988860757,"Hyperbolic"
0,90,0.296252350730268,0.349248729938689,"Hyperbolic"
0,91,0.309059327045198,0.329376773624303,"Hyperbolic"
0,92,0.31765808379426,0.322999175121665,"Hyperbolic"
0,93,0.326211810543708,0.305676769221545,"Hyperbolic"
0,94,0.318556816237554,0.322672203434908,"Hyperbolic"
0,95,0.327655864664921,0.305818891150598,"Hyperbolic"
0,96,0.318679848044849,0.312334450372646,"Hyperbolic"
0,97,0.314956819849955,0.324974577350167,"Hyperbolic"
0,98,0.322853860191708,0.313624996889437,"Hyperbolic"
0,99,0.317855058986707,0.317336948723728,"Hyperbolic"
0,100,0.318780946394956,0.314876783351845,"Hyperbolic"
0,1,0.324293084311958,0.336727629842469,"Homothetic Hyperbolic"
0,2,0.322764701929353,0.338380038135701,"Homothetic Hyperbolic"
0,3,0.342527634237045,0.308451089994079,"Homothetic Hyperbolic"
0,4,0.32865177753887,0.336112427034195,"Homothetic Hyperbolic"
0,5,0.337177949630958,0.324948186495422,"Homothetic Hyperbolic"
0,6,0.331205494808493,0.314938679158537,"Homothetic Hyperbolic"
0,7,0.337758892725201,0.327271514996123,"Homothetic Hyperbolic"
0,8,0.341038973950874,0.311971539223032,"Homothetic Hyperbolic"
0,9,0.340111668819336,0.32580578214457,"Homothetic Hyperbolic"
0,10,0.334024478054783,0.330964686470976,"Homothetic Hyperbolic"
